external_id,game,set_code,collector_number,name,condition,printing,language,quantity,cost,date_acquired,comment
b870c742-e799-4276-bb3d-f2c288ce0db8,mtg,KHC,53,Prowess of the Fair,LP,normal,en,1,0.0946,2026-06-20,airtable:Prowess of the Fair
905d3e02-ea06-45e7-9adb-c8e7583323a2,mtg,FDN,7,Crystal Barricade,NM,normal,en,1,0.0946,2026-06-20,airtable:Crystal Barricade
799ed076-4724-47bb-94a0-11b42a9826eb,mtg,M13,14,Faith's Reward,MP,normal,en,1,0.0946,2026-06-20,airtable:Faith's Reward
121204,pokemon,STS,75/114,Magearna EX,NM,holo,en,1,3.074,2025-11-23,airtable:Magearna EX
98f3be88-24e2-433f-9138-f0cb59d09a0f,mtg,WAR,94,Kaya's Ghostform,LP,normal,en,1,0.0946,2026-06-20,airtable:Kaya's Ghostform
7e84bb94-d654-4d69-89d9-0a398a940125,mtg,TMP,120,Dauthi Embrace,LP,normal,en,1,0.0946,2026-06-20,airtable:Dauthi Embrace
20be9bf7-9169-4f3f-b6bd-00eec0994c8f,mtg,PLST,C17-92,Sea Gate Oracle,LP,normal,en,1,0.0946,2026-06-20,airtable:Sea Gate
bae6a5fb-39f5-4cf8-85f7-661cb4570507,mtg,AFR,164,Unexpected Windfall,LP,normal,en,1,0.0946,2026-06-20,airtable:Unexpected Windfall
684431,pokemon,POR,050/088,Gengar,NM,holo,en,1,28.3762,2026-06-23,airtable:Gengar
684431,pokemon,POR,050/088,Gengar,NM,holo,en,1,28.3762,2026-06-23,airtable:Gengar
99bf943d-497a-4720-8be0-4bc2cd7642ee,mtg,M11,77,Traumatize,HP,normal,en,1,0.0946,2026-06-20,airtable:Traumatize
07b06421-778a-4d23-862b-30fc5fa25928,mtg,C17,53,Herald's Horn,LP,normal,en,1,0.0946,2026-06-20,airtable:Herald's Horn
303ad78a-b02a-44dc-afe6-7f95781a5062,mtg,VOW,164,Kessig Flamebreather,NM,foil,en,1,0.0946,2026-06-20,airtable:Kessig Flamebreather
952e4e6b-fe74-4f3c-95d1-8e043f72072c,mtg,CLB,105,Wizards of Thay,LP,normal,en,1,0.0946,2026-06-20,airtable:Wizards of Thay
9d78dcd4-c64c-4d10-91e2-432d24e801d4,mtg,SLD,517,"Jiang Yanggu, Wildcrafter",NM,foil,en,1,0.0946,2026-06-20,"airtable:Jiang Yanggu, Wildcrafter"
eb7b9762-740b-4c1c-a411-20dbf023aea5,mtg,CLB,842,Drown in the Loch,NM,normal,en,2,0.0946,2026-06-20,airtable:Drown in the Loch
